cluster,old_url,action,target,note
net-metering-national,/blog/net-metering-india-2026-state-rules-guide,keep-winner,,Winner has most clicks; keep URL
net-metering-national,/blog/solar-net-metering-state-rules-india-2026,301,/blog/net-metering-india-2026-state-rules-guide/,Winner has most clicks; keep URL
net-metering-national,/blog/how-net-metering-works-india,301,/blog/net-metering-india-2026-state-rules-guide/,Winner has most clicks; keep URL
net-metering-national,/blog/net-metering-india-complete-guide,301,/blog/net-metering-india-2026-state-rules-guide/,Winner has most clicks; keep URL
state-net-metering,/blog/maharashtra-net-metering-msedcl-guide-2026,keep-then-decide,/states/maharashtra/,"These rank at positions 6-9. Keep until the state hub + DISCOM page are live and stronger, then decide per GSC data. Link to the hub either way."
state-net-metering,/blog/gujarat-net-metering-solar-guide-2026,keep-then-decide,/states/gujarat/,"These rank at positions 6-9. Keep until the state hub + DISCOM page are live and stronger, then decide per GSC data. Link to the hub either way."
state-net-metering,/blog/karnataka-solar-bescom-net-metering-2026,keep-then-decide,/states/karnataka/,"These rank at positions 6-9. Keep until the state hub + DISCOM page are live and stronger, then decide per GSC data. Link to the hub either way."
state-net-metering,/blog/rajasthan-net-metering-solar-guide-2026,keep-then-decide,/states/rajasthan/,"These rank at positions 6-9. Keep until the state hub + DISCOM page are live and stronger, then decide per GSC data. Link to the hub either way."
state-net-metering,/blog/uttar-pradesh-net-metering-uppcl-guide-2026,keep-then-decide,/states/uttar-pradesh/,"These rank at positions 6-9. Keep until the state hub + DISCOM page are live and stronger, then decide per GSC data. Link to the hub either way."
state-net-metering,/blog/tamil-nadu-net-metering-tangedco-guide-2026,keep-then-decide,/states/tamil-nadu/,"These rank at positions 6-9. Keep until the state hub + DISCOM page are live and stronger, then decide per GSC data. Link to the hub either way."
pm-surya-ghar,/blog/pm-surya-ghar-yojana-subsidy-guide,301,/subsidy/pm-surya-ghar/,New hub; move best content in
pm-surya-ghar,/blog/pm-surya-ghar-muft-bijli-yojana-2026-complete-guide,301,/subsidy/pm-surya-ghar/,New hub; move best content in
pm-surya-ghar,/blog/pm-surya-ghar-yojana-complete-guide,301,/subsidy/pm-surya-ghar/,New hub; move best content in
pm-surya-ghar,/blog/pm-surya-ghar-yojana-application-guide,301,/subsidy/pm-surya-ghar/,New hub; move best content in
pm-surya-ghar,/blog/residential-solar-installation-government-subsidy-india-2026,301,/subsidy/pm-surya-ghar/,New hub; move best content in
state-subsidy,/blog/solar-subsidy-states-india-2025,301,/subsidy/,State-wise table lives on /subsidy/
state-subsidy,/blog/solar-subsidy-india-2026-state-wise-complete-guide,301,/subsidy/,State-wise table lives on /subsidy/
state-subsidy,/blog/gujarat-solar-subsidy-surya-yojana-2026,301,/states/gujarat/,Merge into state hub subsidy section
state-subsidy,/blog/surya-gujarat-yojana-2026-guide,301,/states/gujarat/,Merge into state hub subsidy section
state-subsidy,/blog/maharashtra-solar-subsidy-msedcl-2026,301,/states/maharashtra/,Merge into state hub subsidy section
state-subsidy,/blog/rajasthan-solar-policy-subsidy-2026,301,/states/rajasthan/,Merge into state hub subsidy section
pm-kusum,/blog/pm-kusum-scheme-2026-solar-pump-farmers-guide,301,/subsidy/pm-kusum/,
pm-kusum,/blog/solar-pump-agriculture-india-pm-kusum,301,/subsidy/pm-kusum/,
pm-kusum,/blog/pm-kusum-2-0-india-farm-solar-next-phase,301,/subsidy/pm-kusum/,
pm-kusum,/blog/solar-energy-agriculture-pm-kusum-2026,301,/subsidy/pm-kusum/,
pm-kusum,/blog/pm-kusum-solar-subsidy-farmers-india,301,/subsidy/pm-kusum/,
cost,/blog/solar-panel-installation-cost-india-2025,301,/price/,"Target query: install solar panels cost (1,317 impr, 0 clicks)"
cost,/blog/solar-panel-installation-cost-home-india-2026,301,/price/,"Target query: install solar panels cost (1,317 impr, 0 clicks)"
cost,/blog/solar-panel-cost-india-2025,301,/price/,"Target query: install solar panels cost (1,317 impr, 0 clicks)"
cost-size,/blog/1kw-solar-system-price-india-2026,301,/price/1kw/,
cost-size,/blog/2kw-solar-system-price-india-2026,301,/price/2kw/,
cost-size,/blog/3kw-solar-system-price-india-2026,301,/price/3kw/,
cost-size,/blog/5kw-solar-system-price-india-2026,301,/price/5kw/,
cost-size,/blog/10kw-solar-system-price-india-2026,301,/price/10kw/,
cost-size,/blog/3kw-vs-5kw-solar-system-cost-india-2026,301,/price/,Comparison section on hub
system-size,/blog/1kw-2kw-3kw-5kw-solar-system-india-which-size,301,/tools/solar-system-size-calculator/,Tool page with explainer
system-size,/blog/solar-system-size-guide-india,301,/tools/solar-system-size-calculator/,Tool page with explainer
best-panels,/blog/best-solar-panels-india-2025,301,/brands/best-solar-panels/,
